2025-09-27 15:37:45,812 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-27 16:02:45,498 - 输入参数: [2.89472413e+04 4.82186993e+03 2.57881730e+02 0.00000000e+00
 7.59556973e+05 0.00000000e+00], 计算结果: 6014.117643363491
2025-09-27 16:02:58,003 - 输入参数: [5.83193907e+04 0.00000000e+00 4.46171310e+01 0.00000000e+00
 7.70297517e+05 5.54597129e+05], 计算结果: 816.2556961556778
2025-09-27 16:03:07,551 - 输入参数: [4.08964944e+04 0.00000000e+00 0.00000000e+00 1.45160118e-01
 7.40490951e+05 2.28591451e+05], 计算结果: 823.9904639124175
2025-09-27 16:03:22,685 - 输入参数: [2.99205029e+04 3.53491472e+04 3.67413498e+01 0.00000000e+00
 0.00000000e+00 6.15742946e+05], 计算结果: 3784.816679904701
2025-09-27 16:03:31,634 - 输入参数: [0.00000000e+00 2.51320953e+04 5.88249111e+02 1.90761797e+02
 9.72022840e+05 6.77549633e+04], 计算结果: 1117.279365437024
2025-09-27 16:03:45,696 - 输入参数: [1.00000000e+05 9.12860092e+04 2.25555571e+02 0.00000000e+00
 6.50464923e+04 8.88836545e+05], 计算结果: 1128.9887574704476
2025-09-27 16:03:51,544 - 输入参数: [     0.              0.            945.57616965    934.0704724
 219199.59338915 113604.33427694], 计算结果: 9065.452698777655
2025-09-27 16:04:04,052 - 输入参数: [ 86200.72958501 100000.              0.              0.
 823367.09839017 143226.76530883], 计算结果: 871.152760988953
2025-09-27 16:04:12,309 - 输入参数: [7.84202906e+04 1.31528371e+04 1.19355611e+01 1.00000000e+03
 1.00000000e+06 1.77748375e+05], 计算结果: 415.2049250915653
2025-09-27 16:04:25,834 - 输入参数: [0.00000000e+00 2.60780702e+04 0.00000000e+00 1.02875574e+02
 8.85724964e+05 1.00000000e+06], 计算结果: 967.2697700426561
2025-09-27 16:04:41,165 - 输入参数: [ 88529.12052735      0.              0.              0.
      0.         179246.2259025 ], 计算结果: 2087.6594627098384
2025-09-27 16:04:53,719 - 输入参数: [7.10336000e+04 2.12362685e+04 6.52356649e+01 0.00000000e+00
 4.50966557e+05 9.15775087e+05], 计算结果: 541.9302583104825
2025-09-27 16:05:04,396 - 输入参数: [9.33537353e+04 3.23168478e+04 4.75941851e+02 0.00000000e+00
 1.00000000e+06 2.33552292e+05], 计算结果: 436.13837078298695
2025-09-27 16:05:15,565 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 2.21080442e+02
 7.84636398e+05 3.19612705e+05], 计算结果: 807.6170338725615
2025-09-27 16:05:28,531 - 输入参数: [7.64749774e+03 1.00000000e+05 8.13025245e+02 4.82416808e+02
 1.00000000e+06 6.22749126e+05], 计算结果: 677.765185211599
2025-09-27 16:05:38,871 - 输入参数: [ 73552.60850242  32493.35989692      0.              0.
 838753.88434296 213733.36791986], 计算结果: 414.63596886169546
2025-09-27 16:05:50,527 - 输入参数: [  59242.4963792     4214.71196771    1000.               0.
 1000000.          365175.56599294], 计算结果: 561.3288404694267
2025-09-27 16:06:02,084 - 输入参数: [5.58436229e+04 8.05139274e+04 7.96005168e+02 3.22555863e+02
 7.00315565e+05 1.87054326e+05], 计算结果: 674.960416597226
2025-09-27 16:06:06,551 - 输入参数: [6.78988305e+04 0.00000000e+00 4.31898871e+02 6.11105428e+02
 9.07087070e+05 7.89465402e+04], 计算结果: 799.8066400734831
2025-09-27 16:06:17,063 - 输入参数: [9.59535712e+04 4.62435716e+03 4.48529371e+01 0.00000000e+00
 9.69060214e+05 2.62710287e+05], 计算结果: 422.2310456646209
2025-09-27 16:06:28,064 - 输入参数: [1.00000000e+05 6.84480708e+03 6.43919308e+01 4.11300178e+02
 6.95285399e+05 3.16426967e+05], 计算结果: 694.9891121183794
2025-09-27 16:06:43,891 - 输入参数: [3.99744751e+04 6.72401989e+04 0.00000000e+00 1.02509271e+00
 1.00000000e+06 0.00000000e+00], 计算结果: 2937.5442322297163
2025-09-27 16:06:57,209 - 输入参数: [     0.        100000.             0.             0.
      0.        958924.1481188], 计算结果: 7329.337820494621
2025-09-27 16:07:12,651 - 输入参数: [6.75527318e+04 1.15157862e+04 4.48479873e+01 0.00000000e+00
 0.00000000e+00 4.44357744e+05], 计算结果: 2471.690324884483
2025-09-27 16:07:24,882 - 输入参数: [     0.         100000.           1000.            867.57799417
 587764.93759137 522582.60246   ], 计算结果: 946.4651395213488
2025-09-27 16:07:37,484 - 输入参数: [6.93836823e+04 0.00000000e+00 1.41160923e+02 0.00000000e+00
 9.73834307e+05 0.00000000e+00], 计算结果: 7755.405746401653
2025-09-27 16:07:52,830 - 输入参数: [46285.08929316 31452.35220549     0.             0.
     0.             0.        ], 计算结果: 9325.893667794466
2025-09-27 16:08:06,057 - 输入参数: [6.93399038e+04 0.00000000e+00 4.94128033e+02 0.00000000e+00
 1.00000000e+06 7.60155953e+05], 计算结果: 719.2178282825356
2025-09-27 16:08:18,088 - 输入参数: [7.87762171e+04 0.00000000e+00 2.25094517e+02 1.00000000e+03
 1.00000000e+06 4.13519617e+05], 计算结果: 884.6011894289467
2025-09-27 16:08:22,887 - 输入参数: [8.80330171e+04 8.35401483e+02 7.09369529e+01 1.00000000e+03
 9.13307219e+05 8.35272275e+04], 计算结果: 600.5459629634952
2025-09-27 16:08:33,736 - 输入参数: [7.87477848e+04 5.05326460e+04 5.73394040e+02 1.39761960e+02
 8.33900791e+05 1.56856047e+05], 计算结果: 572.0248531012284
2025-09-27 16:08:44,378 - 输入参数: [0.00000000e+00 4.48869723e+04 1.00000000e+03 7.91308405e+01
 1.00000000e+06 1.46496259e+05], 计算结果: 970.9409014045009
2025-09-27 16:08:55,184 - 输入参数: [ 82852.27056713      0.              0.              0.
 814774.90873896 285036.08405631], 计算结果: 569.0630788078436
2025-09-27 16:09:06,369 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 6.93576340e+02
 1.00000000e+06 3.15246815e+05], 计算结果: 917.0734863008169
2025-09-27 16:09:19,021 - 输入参数: [6.49147985e+04 1.00000000e+05 1.00000000e+03 2.56176117e+02
 5.88655477e+05 7.83926831e+05], 计算结果: 523.437211379816
